app_name,developer_info,website_info,app_status,start_date,end_date,app_description,indication_codes,indication_names,price,property_values,price_averaged,indication_names_translated,app_description_translated
HelloBetter ratiopharm chronischer Schmerz,"GET.ON Institut für Online Gesundheitstrainings GmbH, Deutschland",www.hellobetter.de,vorläufig aufgenommen,18.12.2021,17.07.2023,"HelloBetter ratiopharm chronischer Schmerz ist ein interaktives psychologisches Online-Programm zur anhaltenden Reduktion der Schmerzbeeinträchtigung bei Menschen mit chronischen Schmerzen. Neben fundierter Psychoedukation mittels Texten, Videos und Audios, erlernen Betroffene wirksame Strategien derAkzeptanz- und Commitment-Therapie (ACT), die eine Weiterentwicklung der kognitiven Verhaltenstherapie (KVT) darstellt. Diese Strategien können durch praktische Übungen in den Alltag übertragen werden.","F45.40, F45.41, M54, M79.7, R52.1, R52.2","Anhaltende somatoforme Schmerzstörung, Chronische Schmerzstörung mit somatischen und psychischen Faktoren, Rückenschmerzen, Fibromyalgie, Chronischer unbeeinflussbarer Schmerz, Sonstiger chronischer Schmerz",599.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",599.0,"Sustained somatoform pain disorder, Chronic pain disorder with somatic and psychological factors, Back pain, Fibromyalgia, Chronic uncontrollable pain, Other chronic pain","HelloBetter ratiopharm chronic pain is an interactive psychological online program for the continuous reduction of pain impairment in people with chronic pain. In addition to profound psychoeducation by means of texts, videos and audios, affected persons learn effective strategies of acceptance and commitment therapy (ACT), which represents a further development of cognitive behavioral therapy (KVT). These strategies can be transmitted into everyday life through practical exercises."
HelloBetter Schlafen,"GET.ON Institut für Online Gesundheitstrainings GmbH, Deutschland",hellobetter.de/,vorläufig aufgenommen,18.12.2022,17.12.2023,"HelloBetter Schlafen ist ein interaktives psychologisches Therapieprogramm zur Reduktion insomnischer Beschwerden. Das Online-Programm basiert auf der kognitiven Verhaltenstherapie für Insomnie (KVT-I) und wurde von Expertinnen und Experten aus der Wissenschaft, Psychologie und Psychotherapie sowie gemeinsam mit Betroffenen entwickelt. Neben fundierter Psychoedukation vermittelt das Online-Programm wirksame Strategien aus der kognitiven Verhaltenstherapie nach dem aktuellsten Stand wissenschaftlicher Erkenntnisse.Dazu gehören unter anderem Schlafhygiene, Bettzeitverkürzung, Stimuluskontrolle, kognitive Strategien, Entspannungsverfahren, eine Rückfallprophylaxe sowie ein fortlaufendes Online-Tagebuch.","F51.0, G47.0","Nichtorganische Insomnie, Ein- und Durchschlafstörungen",599.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",599.0,"Non-organic insomnia, insomnia and sleep disorders","HelloBetter Schlafen is an interactive psychological therapy program for the reduction of insomnic ailments.The online program is based on cognitive behavioral therapy for insomnia (KVT-I) and was developed by experts from science, psychology and psychotherapy as well as with those affected.In addition to well-founded psychoeducation, the online program provides effective strategies from cognitive behavioral therapy according to the latest scientific findings.These include sleep hygiene, bedtime reduction, stimulant control, cognitive strategies, relaxation procedures, a relapse prevention as well as an ongoing online diary."
HelloBetter Stress und Burnout,"GET.ON Institut für Online Gesundheitstrainings GmbH, Deutschland",hellobetter.de/,Dauerhaft aufgenommen,,,"HelloBetter Stress und Burnout ist ein interaktives, psychologisches Therapieprogramm, das auf eine anhaltende Minderung der Stressbeanspruchung in Bezug auf Schwierigkeiten bei der Lebens- und Arbeitsbewältigung abzielt. Anhand einer randomisiert kontrollierten Studie konnte gezeigt werden, dass mit der Teilnahme an diesem Online-Programm die Stressbeanspruchung nachweislich reduziert wird sowie Verbesserungen in Bereichen der psychischen Gesundheit (Depression, Angst, Schlaf) und arbeitsbezogenen Gesundheit (emotionale Erschöpfung, Arbeitsengagement) erzielt werden. Der Online-Kurs besteht aus sieben wöchentlich zu absolvierenden Einheiten sowie einer vier Wochen nach Kursende angesetzten Auffrischungseinheit mit einer Bearbeitungsdauer von je 45-60 Minuten. Neben fundierter Psychoedukation mittels Texten, Videos und Audios, vermittelt das Online-Programm wirksame Strategien aus der kognitiven Verhaltenstherapie (KVT) nach dem aktuellsten Stand wissenschaftlicher Erkenntnisse. Dazu gehören unter anderem Problemlösetechniken, Verhaltensaktivierung sowie Emotionsregulationsstrategien. Zusätzlich gibt es ein Online-Tagebuch, eine Begleit-App und wiederholte Symptom-Checks, um die eigenen Fortschritte festhalten, beobachten und auswerten zu können. Es wird in allen Angeboten großen Wert auf die Patientensicherheit gelegt. Daher steht Betroffenen jederzeit, insbesondere in Krisensituationen, ein persönlicher, geschulter Psychologe zur Seite. Zu jeder Einheit des Kurses erhalten Betroffene innerhalb von 24 Stunden eine schriftliche Rückmeldung des persönlichen Psychologen. Zusätzlich steht der persönliche Psychologe über eine Nachrichtenfunktion bei Fragen zur Anwendung zur Verfügung.",Z73,Probleme mit Bezug auf Schwierigkeiten bei der Lebensbewältigung,235.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",235.0,Problems related to difficulties in managing life,"HelloBetter Stress and Burnout is an interactive, psychological therapy program that aims to continuously reduce stress in relation to difficulties in life and work management. A randomized controlled study has shown that participation in this online program has proven to reduce stress stress, as well as improvements in mental health (depression, anxiety, sleep) and work-related health (emotional exhaustion, work engagement). The online course consists of seven weekly units to be completed as well as a refresher unit set up four weeks after the end of the course with a duration of 45-60 minutes each. In addition to sound psychoeducation using texts, videos and audios, the online program provides effective strategies from cognitive behavioral therapy (KVT) according to the most current scientific findings. These include, among others, problem solving techniques, behavior activation and emotion regulation strategies. In addition, there is an online diary, an accompanying app and repeated symptom checks to record progress, and evaluate situations of personal use. Therefore, there is a high level of interest in all patients."
HelloBetter Vaginismus Plus,"GET.ON Institut für Online Gesundheitstrainings GmbH, Deutschland",hellobetter.de/,Dauerhaft aufgenommen,,,HelloBetter Vaginismus Plus ist eine digitale Gesundheitsanwendung zur Verbesserung der vaginalen Penetrationsfähigkeit beim Geschlechtsverkehr. Betroffene erhalten wichtige Informationen zu ihren Symptomen und können mithilfe verschiedener Übungen Veränderungen im Denken und Handeln erproben sowie Erlerntes in den Alltag übertragen. Ein besonderer Schwerpunkt liegt dabei auf schrittweisen vaginalen Einführungsübungen und dem Aufbau von positiven sexuellen Erfahrungen. Zudem werden unter anderem belastende Gedanken und Gefühle hinterfragt und Entspannungs- sowie Beckenbodenübungen integriert.,"F52.5, F52.6","Nichtorganischer Vaginismus, Nichtorganische Dyspareunie",599.00,"Zusatzgeräte optional, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",599.0,"Non-organic vaginism, Non-organic dyspareunia","HelloBetter Vaginismus Plus is a digital health application to improve vaginal penetration in sexual intercourse. Those affected receive important information about their symptoms and can use various exercises to test changes in thinking and acting and transfer what they have learned into everyday life. A special focus is on gradual vaginal introductory exercises and the development of positive sexual experiences. In addition, stressful thoughts and feelings are questioned and relaxation and pelvic floor exercises are integrated."
Invirto- Die Therapie gegen Angst,"Sympatient GmbH, Deutschland",www.invirto.de,Dauerhaft aufgenommen,,,"Invirto ermöglicht Menschen mit einer Agoraphobie, Panikstörung oder sozialen Phobie eine Behandlung ihrer Angststörung von zu Hause aus. Patientinnen und Patienten lernen von Therapeutinnen oder Ärzten begleitet mit einer App und einer Virtual-Reality-Brille unter anderem: Ihre Angst besser zu verstehen, mit hoher Anspannung umzugehen, Angstgedanken zu bewältigen und angstbesetzte Situationen wieder aufzusuchen. Die Begleitung durch Psychotherapeutinnen oder Ärzte sichert eine hochqualitative Versorgung und unterstützt die Nutzerinnen und Nutzer. Invirto ermöglicht es, die Symptome der Angststörung zu reduzieren, Vermeidungsverhalten zu verringern und wieder mehr Bewegungsfreiheit im Alltag zurückzugewinnen. Invirto basiert auf einer kognitiven Verhaltenstherapie mit Expositionstraining, die von Fachgesellschaften für die Behandlung von Angststörungen empfohlen wird.","F40.00, F40.01, F40.1, F41.0","Agoraphobie: Ohne Angabe einer Panikstörung, Agoraphobie: Mit Panikstörung, Soziale Phobien, Panikstörung episodisch paroxysmale Angst",620.00,"Zusatzgeräte enthalten, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",620.0,"Agoraphobia: Without indication of panic disorder, Agoraphobia: With panic disorder, Social phobias, panic disorder episodic paroxysmal anxiety","Invirto allows people with an agoraphobia, panic disorder or social phobia to treat their anxiety disorder from home. Patients learn from therapists and doctors accompanied by an app and a virtual reality glasses among other things: to understand their fear better, to deal with high tension, to cope with fear thoughts and to revisit fear-ridden situations. The accompaniment by psychotherapists ensures high-quality care and supports the users. Invirto allows to reduce the symptoms of anxiety disorder, to reduce avoidance behaviour and to regain more freedom of movement in everyday life. Invirto is based on cognitive behavioral therapy with exposure training, which is recommended by specialist societies for the treatment of anxiety disorders."
Kaia COPD: Meine aktive COPD Therapie,"kaia health software GmbH, Deutschland",kaiahealth.de/,vorläufig aufgenommen,26.12.2022,25.12.2023,"Kaia COPD ist eine gemeinsam mit Lungenfachärzten entwickelte digitale Anwendung für erwachsene Patientinnen und Patienten mit COPD. Sie vermittelt evidenzbasierte und leitlinienkonforme Inhalte der Pneumologischen Rehabilitation, um die körperliche Leistungsfähigkeit und die gesundheitsbezogene Lebensqualität zu verbessern. Kaia COPD setzt sich aus den Therapie-Elementen Bewegung, Patientenedukation sowie Entspannungs- und Atemtechniken zusammen. In der Anwendung können Patientinnen und Patienten ein individuelles Therapieprogramm durchlaufen und aktiv ihre Symptome lindern. Die Inhalte basieren auf den Empfehlungen der Nationalen VersorgungsLeitlinie COPD.-Kaia COPD ist eine nicht-medikamentöse Therapie und kann als Therapiebegleitung der medikamentösen Therapie eingesetzt werden. Dabei berücksichtigt Kaia COPD die individuellen Voraussetzungen der Patientin bzw. des Patienten wie die körperliche Leistungsfähigkeit und ermöglicht so eine fortlaufend an die Patientin bzw. den Patienten angepasste Therapie. Patientinnen und Patienten können Kaia COPD zeit- und ortsunabhängig nutzen.-Die Therapie mit Kaia COPD beruht auf den Erkenntnissen neuester Studien über die Entstehung und Behandlung der COPD. Die Wirksamkeit der Therapie konnte in mehreren bereits veröffentlichten klinischen Studien beobachtet und wissenschaftlich belegt werden.","J44.8, J44.9","Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit, Chronische obstruktive Lungenkrankheit, nicht näher bezeichnet",415.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch und 1 weitere",415.0,"Other more detailed chronic obstructive lung disease, chronic obstructive lung disease, not specified","Kaia COPD is a digital application developed together with lung specialists for adult patients with COPD. It mediates evidence-based and guideline-compliant contents of pneumological rehabilitation to improve physical performance and health-related quality of life. Kaia COPD consists of the therapy elements movement, patient treatment as well as relaxation and breathing techniques. In the application, patients can go through an individual therapy program and actively alleviate their symptoms. The contents are based on the recommendations of the National Supply Guideline COPD.-Kaia COPD is a non-medical therapy and can be used as therapy support for medical therapy. Here, Kaia COPD takes into account the individual requirements of the patient, such as physical performance, thus enabling continuous therapy adapted to the patient. Patients and patients can use Kaia COPD time- and location-independently.-The therapy with Kaia COPD is based on the findings of the latest studies on the development and treatment of COPD. The effectiveness of the therapy has been observed in several published clinical studies and has been scientifically proven."
Kalmeda,"mynoise GmbH, Deutschland",www.kalmeda.de,Dauerhaft aufgenommen,,,"Diese DiGA bietet Patientinnen und Patienten (die das 18. Lebensjahr vollendet haben) mit chronischer Tinnitusbelastung eine leitlinienbasierte, verhaltenstherapeutische Therapie. Ergänzt wird das strukturierte Programm durch Entspannungsanleitungen, beruhigende Natur- und Hintergrundgeräusche sowie einen Wissensteil.  Das mehrmonatige verhaltenstherapeutische Programm besteht aus 5 Leveln mit jeweils 9 Etappen und zeigt Patienten schrittweise den Weg zu einem selbstbestimmten Umgang mit dem Tinnitus und zu einer Reduzierung der Tinnitusbelastung.",H93.1,Tinnitus aurium,189.00,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",189.0,Tinnitus aurium,"This DiGA offers patients (who have reached the age of 18) with chronic tinnitus exposure a guideline-based, behavioral therapeutic therapy. The structured program is supplemented by relaxation instructions, soothing natural and background noises as well as a knowledge part. The multi-month behavioral therapeutic program consists of 5 levels with 9 stages each and shows patients the way to a self-determined handling of the tinnitus and a reduction of the tinnitus load."
Kranus Edera,"Kranus Health GmbH, Deutschland",www.kranushealth.com,vorläufig aufgenommen,18.12.2021,17.04.2023,"Kranus Edera ist eine digitale Gesundheitsanwendung zur ganzheitlichen Behandlung von Erektionsstörungen und ihren Ursachen. Die alleinstehende Therapie unterstützt Männer mit erektiler Dysfunktion selbst aktiv an ihrer Behandlung teil zu haben und hilft Ärztinnen und Ärzten dabei die Empfehlungen der Leitlinien zur Behandlung von Erektionsstörungen umzusetzen und so die Therapieoptionen zu erweitern. Anwender der App absolvieren ein 12-Wochen Programm aus den Bausteinen Beckenbodentraining, physiotherapeutische Übungen, kardiovaskuläres Ausdauertraining sowie Achtsamkeits- und sexualtherapeutische Übungen. Patienten erhalten wöchentlich neue Übungen, die in ihrer Intensität und Komplexität fortlaufend angepasst werden. Ergänzt wird die Therapie durch Wissensvermittlung über die Erkrankung und hilfreiche Tipps, z.B. zur Ernährung und zu vorbeugenden Maßnahmen.",N48.4,Impotenz organischen Ursprungs,656.88,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",656.88,Impotence of organic origin,"Kranus Edera is a digital health application for the holistic treatment of erectile dysfunction and its causes. The single therapy supports men with erectile dysfunction themselves to actively participate in their treatment and helps doctors implement the recommendations of the guidelines for the treatment of erectile dysfunction and thus expand the therapy options. Users of the app complete a 12-week program consisting of the modules pelvic floor training, physiotherapeutic exercises, cardiovascular endurance training as well as mindfulness and sexual therapeutic exercises. Patients receive new exercises weekly, which are continuously adapted in their intensity and complexity. The therapy is supplemented by knowledge about the disease and helpful tips, e.g. on nutrition and preventive measures."
Mawendo,"Mawendo GmbH, Deutschland",diga.mawendo.com/,vorläufig aufgenommen,09.08.2021,08.08.2023,"Mawendo stellt Trainingsprogramme mit Übungsvideos, Gesundheitsinformationen und Dokumentationsmöglichkeiten bereit. Das Trainingsprogramm wird initial durch Ärztinnen und Ärzte ausgewählt und in Bezug auf das Krankheitsbild, die spezifischen Übungen sowie die Trainingsphasen für die Patientin oder den Patienten individualisiert. Im Anschluss können Patientinnen und Patienten mit Hilfe der DiGA die Behandlung von Erkrankungen der Kniescheibe (Patella) durch Eigentraining selbstständig unterstützen.",M22,Krankheiten der Patella,119.00,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",119.0,Diseases of Patella,"Mawendo provides training programs with exercise videos, health information and documentation options. The training program is initially selected by doctors and doctors and individualized with regard to the disease picture, the specific exercises as well as the training phases for the patient. Subsequently, patients can support the treatment of diseases of the kneecap (Patella) independently with the help of the DiGA."
Meine Tinnitus App - Das digitale Tinnitus Counseling,"Sonormed GmbH, Deutschland",www.sonormed.com/de/,vorläufig aufgenommen,06.03.2022,05.03.2023,"Meine Tinnitus App - Das digitale Tinnitus Counseling wird für Tinnitus-Patientinnen und Tinnitus-Patienten zur Erstversorgung eingesetzt. Die aktuell gültige S3 Leitlinie empfiehlt das Tinnitus Counseling als anerkannten Behandlungsweg: Durch die Anwendung konkreter Maßnahmen und etablierter Techniken können Patientinnen und Patienten ihre Tinnitus-Belastung verringern. Die behandelnde Ärztin oder der behandelnde Arzt verordnet die Smartphone-App Meine Tinnitus App - Das digitale Tinnitus Counseling als Erstanwendung nach einer eingehenden Untersuchung. Die App stellt Patientinnen und Patienten Psycho-Edukation und Anleitung zum Selbstmanagement durch umfassende tinnitusspezifische Multimedia-Inhalte bereit. Die Patientinnen und Patienten werden innerhalb von 10 Wochen in interaktiver, unterhaltsamer und individuell abgestimmter Weise durch verschiedene Lektionen geführt und schrittweise mit gezielten edukatorischen Inhalten und Übungen vertraut gemacht. Jede Lektion wird mit einer motivierenden Überprüfung abgeschlossen, um wenige Tage später die nächste Lektion starten zu können. Meine Tinnitus App - Das digitale Tinnitus Counseling steht den Patientinnen und Patientinnen und Patienten für 12 Monate zur Verfügung, entweder zur Wiederholung der Lektionen oder auch zur Festigung ihres Therapieerfolgs. Meine Tinnitus App - Das digitale Tinnitus Counseling ist eine alleinstehende Therapie für Tinnitus-Patientinnen und Tinnitus-Patienten, die an eine Erstberatung durch die behandelnde Ärztin oder den behandelnden Arzt anschließt.",H93.1,Tinnitus aurium,449.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",449.0,Tinnitus aurium,"My Tinnitus App - The digital Tinnitus Counseling is used for Tinnitus patients for initial care. The currently valid S3 guideline recommends Tinnitus Counseling as a recognised treatment route: By applying concrete measures and established techniques, patients can reduce their Tinnitus exposure. The treating physician or the treating physician prescribes the smartphone app My Tinnitus App - The digital Tinnitus Counseling as a first-time application after an in-depth examination. The app provides patients with psycho-education and self-management guidance through comprehensive tinnitus-specific multimedia content. The patients and patients are guided in an interactive, entertaining and individually coordinated manner within 10 weeks through various lessons and gradually familiarized with targeted educational content and exercises. Each lesson is completed with a motivating review to start the next lesson a few days later. My Tinnitus App - The digital Tinnitus Counseling is also used for the treatment of the patient's first-persons, or for the treatment of the patient's first-persons."
Mindable: Panikstörung und Agoraphobie,"Mindable Health GmbH, Deutschland",www.mindable.health,vorläufig aufgenommen,29.04.2021,28.04.2023,"Die App ""Mindable: Panikstörung und Agoraphobie"" richtet sich an Menschen ab 18 Jahren, die an den Symptomen einer Agoraphobie und/oder Panikstörung leiden. Das Behandlungsprogramm basiert auf S3-leitlinienkonformen Methoden der Kognitiven Verhaltenstherapie. Mindable unterstützt Nutzerinnen und Nutzer dabei ihre Ängste proaktiv anzugehen und zu reduzieren. Neben Psychoedukation liegt der Schwerpunkt des Behandlungsprogramms auf der Gewöhnung an Körpersymptome (Habituation durch gezielte Symptomprovokation), sowie in-vivo Konfrontation. Während der Konfrontationsübungen werden Angstverläufe live aufgezeichnet. Darüber hinaus können Nutzerinnen und Nutzer angstbezogene Symptome, Ereignisse und Verhalten regelmäßig erfassen und bei Bedarf mit ihren behandelnden Ärzten oder Therapeuten teilen. Mindable ist als iOS und Android App, sowie in deutscher, englischer und französischer Sprache verfügbar.","F40.0, F41.0","Agoraphobie, Panikstörung episodisch paroxysmale Angst",576.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch und 2 weitere",576.0,"Agoraphobia, panic disorder episodic paroxysmal anxiety","The ""Mindable: Panic Disorder and Agoraphobia"" app is aimed at people aged 18 and over who suffer from the symptoms of agoraphobia and/or panic disorder. The treatment program is based on S3-guideline-compliant methods of cognitive behavior therapy. Mindable supports users in proactively addressing and reducing their fears. In addition to psychoeducation, the treatment program focuses on getting used to body symptoms (habituation through targeted symptom enhancement), as well as in-vivo confrontation. During the confrontation exercises, fear progressions are recorded live. In addition, users can regularly record anxiety-related symptoms, events and behavior and share them with their treating physicians or therapists if necessary. Mindable is available as iOS and Android app, as well as in German, English and French."
neolexon Aphasie,"Limedix GmbH, Deutschland",neolexon.de/,vorläufig aufgenommen,06.02.2022,05.02.2023,"neolexon Aphasie bietet Menschen mit Aphasie und/oder Sprechapraxie ein logopädisches Training zum täglichen Üben zuhause als Ergänzung zur Sprachtherapie. Die Anwendung umfasst Übungen in allen sprachlichen Bereichen (Verstehen, Sprechen, Lesen und Schreiben), die von der behandelnden Sprachtherapeutin oder vom behandelnden Sprachtherapeuten individuell initial festgelegt und fortlaufend angepasst werden. Es können Wörter, Sätze oder Texte trainiert werden.","R47.0, R48.2","Dysphasie und Aphasie, Apraxie",487.90,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",487.9,"dysphasia and aphasia, aprixia","neolexon Aphasia offers people with aphasia and/or speech apraxia a logopaedic training for daily practice at home as a supplement to speech therapy. The application includes exercises in all linguistic areas (understanding, speaking, reading and writing), which are individually defined and continuously adapted by the treating speech therapist. Words, sentences or texts can be trained."
NichtraucherHelden-App,"NichtraucherHelden GmbH, Deutschland",www.nichtraucherhelden.de/,vorläufig aufgenommen,03.07.2021,02.07.2023,"Die App dient der Behandlung und Linderung einer diagnostizierten Tabakabhängigkeit. Durch ein kognitiv-verhaltenstherapeutisches Nichtrauchercoaching wird Patientinnen und Patienten geholfen, ihre Tabakabhängigkeit zu überwinden. Die App begleitet Patientinnen und Patienten über einen Zeitraum von 3 Monaten, um vor allem auch nach dem Rauchstopp weitere Unterstützungsmöglichkeiten anbieten zu können.",F17.2,Psychische und Verhaltensstörungen durch Tabak: Abhängigkeitssyndrom,119.00 - 329.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",224.0,Psychological and behavioural disorders caused by tobacco: addiction syndrome,"The app serves the treatment and alleviation of a diagnosed tobacco addiction. Cognitive-behavior-therapeutic non-smoking coaching helps patients to overcome their tobacco addiction. The app accompanies patients over a period of 3 months in order to offer further support, especially after the smoke stop."
Novego: Depressionen bewältigen,"IVPNetworks GmbH, Deutschland",www.ivpnetworks.de/,vorläufig aufgenommen,10.10.2021,09.10.2023,"Novego: Depressionen bewältigen ist ein psychologisches Online-Unterstützungsprogramm für Menschen, die unter Depressionen leiden. Novego wird bereits seit über zehn Jahren  zur Überbrückung von Wartezeiten, begleitend zu einer Therapie oder als Anschlussangebot zur Stabilisierung eingesetzt. Das Programm basiert auf den  Methoden der Kognitiven Verhaltenstherapie, die individuell auf die persönliche Lebenssituation der Teilnehmer und Teilnehmerinnen abgestimmt werden. Die Inhalte werden verständlich und kreativ aufbereitet und in Form von Texten, Videos, Audios und interaktiven Übungen abwechslungsreich dargestellt. Novego: Depressionen bewältigen steht den Teilnehmern und Teilnehmerinnen nach der regulären Programmlaufzeit von 12 Wochen für weitere 12 Monate zur Verfügung, sodass Inhalte gefestigt und dauerhaft in den Alltag integriert werden können. Während der selbständigen Bearbeitung können die Teilnehmer und Teilnehmerinnen bei Fragen direkt das Novego-Team einmal pro Woche per Nachricht kontaktieren. Für den Fall, dass eine akute Krise auftritt, steht ergänzend zu dem Programm eine 24h-Krisenhotline zur Verfügung. Die Wirksamkeit von Novego bei der Reduktion depressiver Symptome wurde bereits in drei Studien bei unterschiedlichen Patientengruppen untersucht. Eine weitere Studie befindet sich aktuell in der Durchführung.","F32.0, F32.1, F33.0, F33.1, F34.1","Leichte depressive Episode, Mittelgradige depressive Episode, Rezidivierende depressive Störung, gegenwärtig leichte Episode, Rezidivierende depressive Störung, gegenwärtig mittelgradige Episode, Dysthymia",249.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",249.0,"Mild depressive episode, intermediate depressive episode, recurrent depressive disorder, currently mild episode, recurrent depressive disorder, currently moderate episode, dysthymia","Novego: Coping with depression is a psychological online support program for people suffering from depression. Novego has been used for more than ten years to bridge waiting times, to accompany therapy or to provide support for stabilisation. The program is based on the methods of cognitive behavioral therapy, which are individually adapted to the personal life situation of the participants. The content is processed in a comprehensible and creative way and presented in the form of texts, videos, audios and interactive exercises varied. Novego: Coping with depression is available to the participants after the regular program period of 12 weeks for another 12 months, so that content can be consolidated and permanently integrated into everyday life. During the independent treatment, the participants can contact the Novego team once a week by message in case of questions. In case of an acute crisis, a 24 hour crisis hotline is available to supplement the program. The effectiveness of Novego in reducing depressive symptoms has already been investigated in three studies in different patient groups."
optimune,"GAIA AG, Deutschland",gaia-group.com/de/,vorläufig aufgenommen,14.07.2022,13.07.2023,"Bei optimune handelt es sich um eine DiGA für Patientinnen mit Brustkrebs, die ihre Erstbehandlung abgeschlossen haben, sich belastet fühlen und mindestens 18 Jahre alt sind. optimune vermittelt insbesondere Methoden und Techniken der Kognitiven Verhaltenstherapie. In einer klinischen Studie (Holtdirk et al., 2021) hat sich gezeigt, dass optimune zusätzlich zu einer sonst üblichen Versorgung die Lebensqualität nach 12 Wochen stärker verbessert als die übliche Versorgung allein.-Im Versorgungspfad ist optimune wie folgt einzuordnen:- Tertiäre Prävention: Bei der Tertiärprävention handelt es sich um die “Verhütung der Verschlimmerung von Krankheiten und Behinderungen durch wirksame Therapie einer symptomatisch gewordenen Krankheit” (Definition Pschyrembel online). In der klinischen Studie wurden Patientinnen eingeschlossen, bei denen ein Brustkrebs diagnostiziert wurde und die ihre Ersttherapie abgeschlossen haben. Die systematische Datenauswertung erfolgte bei Patientinnen, die symptomatisch waren, d. h., bei denen die Lebensqualität vermindert war.-- Überbrückung: In der klinischen Studie wurde optimune ohne Berücksichtigung einer Psychotherapie (begleitend oder im Nachgang) evaluiert. Wie oben dargestellt, ergab sich eine stärkere Verbesserung der Lebensqualität in der Interventions- gegenüber der Kontrollgruppe.-- Therapiebegleitung: In der klinischen Studie wurde optimune als Ergänzung zu der sonst üblichen medizinischen Versorgung untersucht. Zudem sieht die Zweckbestimmung auch nur den ergänzenden Einsatz zu der sonst üblichen medizinischen Versorgung vor. optimune ist zur reinen Selbstanwendung durch die Patientin vorgesehen. Ärzte/Ärztinnen oder Psychotherapeuten/Psychotherapeutinnen müssen demnach keine zusätzlichen Leistungen erbringen (wie z. B. Coachings oder zusätzliche Telefonate), wenn sie optimune verordnen. Zudem ist optimune alleinstehend wirksam. Neben optimune können, müssen jedoch in keinem Fall, andere Behandlungen (wie z. B. Psychotherapie) eingesetzt werden.",C50,Bösartige Neubildung der Brustdrüse Mamma,952.00,"Keine Zusatzgeräte, Keine vertragsärztlichen Leistungen erforderlich, Verfügbare Sprachen: Deutsch",952.0,Malignant neuformation of the mamma breast,"In addition to the treatment of patients with breast cancer (Holtdirk et al., 2021), optimune has been shown to improve the quality of life after 12 weeks in addition to an otherwise usual care.-In the care path, optimune is classified as follows:- Tertiary prevention: Tertiary prevention is the prevention of the worsening of diseases and disabilities by effective therapy of a disease that has become symptomatic.- (Definition Pschyrembel online). In the clinical study, optimune has been included in patients who have been diagnosed with breast cancer and who have completed their initial therapy. The systematic data evaluation has been carried out in patients who have been symptomatic, i.e. who have reduced the quality of life.-- Overpassion: In the clinical study, optimune has been provided without consideration of a psychotherapy (accompanying or in the follow-up)."
Oviva Direkt für Adipositas,"Oviva AG (Zweigniederlassung Deutschland) , Deutschland",oviva.com/de/de/oviva-direkt/rechtliche-hinweise/,vorläufig aufgenommen,03.10.2021,02.07.2023,"Oviva Direkt für Adipositas ist die digitale Therapie zur Behandlung von starkem Übergewicht und unterstützt Menschen täglich dabei, ihre Gewohnheiten zu ändern und ihr Gewicht zu reduzieren. Die DiGA-App ist ein digitaler Helfer im Alltag von Patientinnen und Patienten und ermöglicht die gängige Behandlung zum Abnehmen (multimodale Adipositastherapie) auf dem Smartphone.",E66,Adipositas,426.96,"Keine Zusatzgeräte, Vertragsärztliche Leistungen erforderlich, Verfügbare Sprachen: Deutsch",426.96,Obesity,Oviva Direct for obesity is the digital therapy for the treatment of severe overweight and supports people daily in changing their habits and reducing their weight. The DiGA app is a digital helper in the everyday life of patients and enables the common treatment for weight loss (multimodal obesity therapy) on the smartphone.
